0,	-0,	-1,	-0.003007,	-0.635752,	-1,	0.756560,	1.109282
1,	1,	1,	0.081097,	0.532342,	-1,	0.860869,	0.593231
1,	-1,	1,	-1.898579,	0.261701,	-2,	1.113902,	0.846195
0,	1,	1,	0.055219,	0.883676,	-1,	1.331143,	0.940553
0,	1,	0,	0.417512,	0.586456,	-1,	1.263251,	0.952751
0,	-0,	-1,	0.669824,	-0.461511,	-0,	-0.972738,	-1.076429
0,	-0,	-0,	-0.294136,	-0.395523,	-1,	0.511180,	0.694449
0,	0,	-0,	0.365756,	0.055380,	-1,	0.339577,	0.323764
0,	2,	0,	0.449860,	0.778306,	-1,	1.319653,	0.948424
1,	-0,	2,	-2.112073,	0.576423,	-1,	1.479653,	1.639081
